evID,heatFlow,crustalThick,mantleThick,elevation,strainRate,nAftershocks
8730,0.068579015475281,23058.0902455774,94670.2557291869,-3517.47082391294,688.067094097001,1
8731,0.0826203064818005,28537.5595638729,69902.1449211488,-381.431764846891,97.9799894807984,1
8732,0.0906551034800323,27694.7406682462,57193.4272444419,-1032.1626961244,341.178914722608,1
8733,0.0666878629404604,18634.2910748474,106722.07226215,-4422.45937816653,373.3410523962,0
8734,0.0816188098652754,22459.5286545377,80067.1269147348,-2734.29818909458,344.049668792389,0
8735,0.0812954274841822,25034.2302737548,75836.5858700679,-2392.09861534886,205.467397630299,1
8736,0.0601668325773785,8331.71396971218,89171.5503890706,-5548.49584232425,169.032271300911,0
8737,0.0834566086848683,19321.8633953087,80849.5926434557,-2804.16478024865,311.510773291451,-1
8738,0.108669548906112,27625.8808956773,36344.0834279804,-299.903495372673,91.1530089859014,0
8739,0.0939129663078011,29873.7749975145,46575.8406087891,235.194350664525,124.354370053544,0
8740,0.0822871991699296,28473.9009560728,70480.5567033512,-401.364171353511,124.679509915457,1
8741,0.0514325832096781,9245.71788435803,108259.363588264,-8048.96819777749,177.93063743037,0
8742,0.0890230512333952,24428.4442243913,67596.2603965656,-2048.5911078609,342.743744610833,0
8743,0.0500579376442459,12268.227169581,125614.624641773,-6554.70204028376,14.5182036375024,-1
8744,0.05,15439.5755846969,127858.335989987,-7880.59290946368,16.8996279618881,0
8745,0.0862516853054844,27957.123366613,57815.3180935259,-246.323044667612,205.560907037484,0
8746,0.0912895489637895,28487.5622657539,55183.4615645318,-910.986759192202,207.00691544039,1
8747,0.0855643526889141,28136.3744387649,60352.9499788964,-230.65016711222,163.901150095132,0
8748,0.0678016675617056,21366.6296109516,90911.3261404547,-3958.08210146779,436.762593961295,1
8749,0.0663346037683927,20928.8697096033,94058.4559180673,-4277.54929325528,444.364318687357,0
8750,0.0862444169989481,27424.8678943378,61246.8865924398,-887.731598766171,172.035225688103,0
8751,0.0620840837049121,16991.5456756104,116176.114622501,-5081.45137979464,386.803805194376,0
8752,0.069417544902138,19196.1634946503,101368.694013886,-3998.9639274279,373.462759029953,0
8753,0.0799871902183701,25823.8463044722,70581.1527056548,-1179.47652074721,226.984917074673,2
8754,0.0640181556026794,18367.8624558459,111784.644120822,-4859.15566739859,363.619119129409,0
8755,0.0682352464274138,22891.2961638717,95206.7221790168,-3608.57565649564,625.503284841146,1
8756,0.051584547020295,15177.8380301065,121679.635645782,-7854.23097550548,89.0619129896707,2
8757,0.0500610344850504,13185.3390502571,132064.994737076,-6705.86899677681,43.0347950087261,-1
8758,0.0841081319099819,27389.3719119445,61157.5299021159,-408.372003179201,194.932038606565,1
8759,0.082932211006772,29774.3725715793,57776.9878748342,812.265033759494,309.304317304604,1
8760,0.0698209531432571,23420.7127787484,91889.8575596966,-3238.63153761725,890.135320832524,1
8761,0.0696791155965267,22177.96253966,93184.8567972586,-3010.1220002967,290.978899285638,0
8762,0.0720970002348172,27859.3396776413,64084.4048825312,-197.51686460249,348.673438184645,0
8763,0.0684650329865229,23019.2367417345,94905.8733208396,-3544.23019818335,660.12326617636,0
8764,0.0850924956501075,27669.2548783849,59494.1886107481,-301.25785868925,213.542600464694,0
8765,0.050019648128816,15714.564638359,130789.828268068,-7085.28170364104,92.2491427317191,1
8766,0.0500169235358692,15752.1835994758,131654.451303028,-7096.07648770392,132.004272135144,0
8767,0.0982297400525468,26865.9367788588,52119.2762633681,-1199.37173870113,295.193554680617,1
8768,0.0982410136280927,26883.6853820734,52059.4108509002,-1193.63430558398,294.824060255994,0
8769,0.0828837208599037,29833.1513793277,57769.6705634468,827.966524723364,305.970178836086,3
8770,0.0829717945313703,29731.8856544824,57779.0724906073,800.236350809867,312.088276875777,2
8771,0.0830153350914872,29712.0793828949,57762.3109396967,790.870216967563,313.676280278215,0
8772,0.0755456507136213,28784.7108176019,45561.4646187317,-37.7467162207724,71.3588722867716,0
8773,0.0827922830497755,29928.6032240994,57766.7605638372,855.366240596769,297.018612921592,0
8774,0.0500510678094901,12552.4969846482,125633.657948979,-6599.70559285806,14.9073289933271,-1
8775,0.0739690676150384,22929.02405008,88244.047802294,-2994.93817071193,221.508198618694,0
8776,0.0868363008973115,30262.4298375819,66813.0557957732,-104.947935395836,45.3872778475553,0
8777,0.083102416211721,29672.4668397196,57728.7878378757,772.137949282946,315.305081701108,1
8778,0.082996336053233,29710.9296333262,57776.5540267345,793.551650861558,309.981982372813,0
8779,0.0865925318353574,28041.326361279,57326.1657497095,-233.883740250923,201.641173632713,0
8780,0.113216172130007,28111.8660708417,32464.783227459,-377.622496153526,130.00014416245,1
8781,0.0729069812965645,24040.1773538718,39760.5761671264,-1042.41196102125,393.484035131451,0
8782,0.0839083436982234,20569.4856270778,63580.7213187583,-1734.66194631016,276.187469634781,1
8783,0.050057649878643,12640.4885027586,128235.139037578,-6617.26322077192,17.7169727864856,-1
8784,0.0828966319655988,25224.9375730454,72943.0758300786,-2166.46138648289,248.666145009606,2
8785,0.0778227334991789,28968.0755012721,85247.1290110707,-769.035033798081,148.225503626575,0
8786,0.0653855491762266,17845.9338748542,109594.423247989,-4583.14458893658,385.116469209661,1
