Distanzmaß,TriggerID
9999999,-1
0.006980208,1
0.078207874,1
0.025956517,2
0.987424943,1
0.001077149,5
2.42E-05,5
0.028497639,7
0.00631069,8
0.004858502,9
0.018316193,5
0.067134865,9
1.21E-05,12
9.59E-06,13
0.002238034,14
6.13E-06,14
2.14E-08,16
5.01E-07,16
4.47E-06,16
5.23E-07,19
3.22E-06,16
0.00012265,19
0.0182896,22
6.26E-06,19
4.74E-06,21
7.21E-06,25
7.48E-06,26
0.000230618,19
1.09E-05,27
5.75E-06,29
0.025765194,19
0.024376008,31
0.136735319,31
9.97E-08,33
1.15E-05,33
2.10E-06,33
3.72E-06,33
1.08E-05,33
5.15E-06,33
2.65E-06,33
0.005528509,33
3.02E-05,33
4.75E-05,41
3.36E-05,33
5.00E-05,44
0.000190093,43
0.083251608,33
2.98E-05,45
4.47E-08,48
0.024111764,47
0.029501487,32
0.007676888,33
0.018123699,33
0.0153852,8
0.022775863,53
0.041364925,10
0.027925495,56
0.000154084,57
0.000383792,33
4.79E-06,59
0.000903593,59
0.006128999,59
0.057729267,59
0.007025272,59
0.010432189,63
0.004167573,65
2.17E-05,59
0.006955845,57
0.067357971,59
0.017530138,63
0.025324768,57
0.094140628,9
0.046149033,59
0.05469843,59
0.199426105,66
0.064352349,74
0.015726439,57
0.003615875,7
0.017058672,72
0.014034161,79
0.096775687,76
0.001671199,78
0.002477987,82
0.057362277,63
0.001298326,33
0.139173136,47
0.208680323,86
0.068258221,82
0.029386696,88
0.007980245,63
0.09574582,76
6.51E-08,91
0.039772087,92
0.011163309,92
0.0173898,92
0.00885716,95
0.016523692,90
0.054844239,97
0.020434931,98
0.095919653,65
0.147756262,82
0.048479415,9
0.226667707,59
0.048458523,79
0.014856786,102
0.257926323,104
0.000235783,106
0.014568546,104
3.96E-07,108
0.006177849,109
0.011245997,109
0.001709202,111
0.020735716,111
0.000542448,100
0.006944479,114
0.027509508,103
0.098321298,115
0.028821545,114
0.191274041,114
0.013513184,9
0.016631672,63
0.042822021,9
0.006975926,120
0.072595785,19
0.016905633,124
5.82E-05,124
0.060145552,99
0.076601692,117
0.011178422,128
0.00079551,112
0.06912065,129
0.065948861,87
0.092417696,33
0.031762493,128
0.133633287,134
0.029380344,135
0.028050539,136
0.091569689,137
2.87E-07,138
0.040037826,138
0.017685865,135
0.045395914,140
0.075837591,140
0.004162629,125
0.000101544,143
0.029388158,144
0.000101518,146
0.017725321,147
0.007033959,148
0.02695928,148
0.166109986,148
0.049645484,150
0.008275763,152
0.005366258,59
0.012454299,152
0.000431434,155
0.031841917,101
0.023746669,104
0.382794628,152
0.004789703,120
0.086240104,69
0.07248203,161
0.072228693,148
0.000566194,154
0.070068742,159
0.079390211,143
0.025204825,166
0.003925813,167
0.319375009,76
0.119658263,152
0.081991927,170
0.091071048,167
0.093550982,9
0.001896167,173
0.002138833,173
0.00222243,173
0.073361546,119
0.008252067,173
0.079111021,177
0.00193958,179
0.111046807,179
0.003525914,176
0.026848589,179
0.026905232,182
0.193425699,173
0.017685579,185
0.018322366,185
0.051711459,185
0.010528559,188
0.051088724,173
0.008431657,188
0.000102501,191
0.105590523,191
0.037676153,193
4.29E-06,194
0.057620216,194
0.002860152,164
0.122208271,148
0.018001954,198
0.055382276,148
0.000129925,200
0.011010279,200
0.005540865,57
0.005342894,202
0.039312441,189
0.005326324,204
0.000142729,206
0.000115579,207
5.44E-05,208
0.000373723,207
0.005306626,33
0.057354363,211
0.004464653,202
0.058301754,185
0.042564715,214
0.002280499,173
0.016135899,205
0.041511869,217
0.000266953,217
0.001476018,219
0.011044862,220
0.01142925,219
0.00826886,219
0.016059231,219
0.015208421,1
5.77E-07,225
0.028755112,143
0.001175364,211
0.094686468,227
0.005701616,219
0.001478051,19
1.38E-05,231
0.029369115,225
1.02E-05,232
2.77E-06,232
0.011140179,235
5.62E-06,232
0.00090776,231
0.036646904,238
0.000117038,231
0.00087508,240
7.93E-06,240
6.26E-05,242
1.36E-05,240
2.10E-05,240
0.000492512,245
0.001350332,205
2.67E-05,231
1.11E-07,248
2.36E-06,249
3.58E-07,250
1.46E-05,249
0.019153065,249
0.006512825,173
0.005169731,254
0.000795593,229
0.081572422,254
1.93E-06,257
1.23E-06,258
0.005834936,258
0.006098812,258
2.84E-05,261
0.019923367,258
0.000309292,262
0.003326985,258
0.009728366,265
0.008744389,258
0.001285703,258
0.02698209,266
0.108778054,258
0.004118261,270
0.008572096,258
0.027896284,249
0.071773669,270
0.023683418,191
0.012997145,258
1.32E-06,276
2.62E-05,276
1.87E-05,278
0.023748535,276
0.000258235,276
4.68E-06,281
4.69E-05,280
0.000137081,276
0.000138171,276
0.000107588,285
1.69E-06,286
0.000105469,287
4.94E-05,276
0.02770584,276
0.014383144,246
0.002996349,219
0.098253121,270
0.018476962,293
0.040115341,276
0.000566121,276
0.075984726,276
0.028588825,275
0.004050318,298
0.005975865,298
0.178426418,298
0.030028323,301
0.005540419,297
0.002217077,89
0.004756487,304
0.009913607,258
0.071540284,258
0.046808313,1
0.011077433,298
0.050452949,298
0.071162281,298
0.109105597,301
0.026535269,200
0.009216203,258
0.018976253,314
0.009894327,246
0.005792444,276
0.109807612,270
0.006465142,298
0.020054122,319
0.010512607,258
0.086717362,258
0.008753816,322
0.02385954,322
0.068967976,323
0.017383653,298
0.102058308,298
0.036182286,327
3.02E-07,328
4.15E-05,328
5.66E-06,330
7.36E-05,330
3.30E-05,330
4.09E-05,332
2.09E-05,334
0.000271338,335
1.44E-05,336
5.10E-06,337
1.14E-05,338
4.31E-06,338
0.009326542,340
2.28E-06,341
0.003561923,341
2.71E-05,340
0.016348017,274
0.00420074,341
0.003398413,218
0.143818903,345
0.000152856,328
4.44E-07,349
2.36E-06,350
0.01830734,305
4.58E-06,352
0.007865007,148
0.000630126,350
0.0869638,298
0.002303191,356
0.0020186,357
0.009249755,357
0.080196401,357
0.00213931,360
0.00786254,360
0.001685598,340
3.61E-06,363
0.003185508,360
0.000670167,349
0.014795681,357
0.024510563,360
0.014357503,360
0.060127678,362
0.011897019,360
0.149449706,345
0.000467772,340
0.000333767,364
0.174252885,360
0.017433076,375
0.000160609,375
0.035536619,341
0.021561669,362
0.001295984,372
0.001781712,380
0.000266757,152
0.083534841,368
0.031637637,378
0.025626644,384
0.030919288,276
3.24E-05,386
0.009514482,258
0.082949922,298
0.191796787,66
0.027643121,390
0.010024488,391
